,Acoes
102,CEDO3F.SA
103,CEDO4.SA
104,CEDO3.SA
105,NFLX34F.SA
106,NFLX34.SA
107,NIKE34F.SA
108,NIKE34.SA
109,MCDC34F.SA
110,MCDC34.SA
111,HOME34F.SA
112,HOME34.SA
113,FDMO34F.SA
114,FDMO34.SA
115,CMCS34F.SA
116,CMCS34.SA
117,AMZO34F.SA
118,RDNI3F.SA
119,RDNI3.SA
120,SLED4F.SA
121,SLED3F.SA
122,SLED3.SA
123,RSID3F.SA
124,RSID3.SA
125,MNDL3F.SA
126,MNDL3.SA
127,LEVE3F.SA
128,LEVE3.SA
129,CTKA4F.SA
130,CTKA3F.SA
131,CTKA4.SA
132,CTKA3.SA
133,MYPK3F.SA
134,MYPK3.SA
135,GRND3F.SA
136,GRND3.SA
137,LCAM3F.SA
138,LCAM3.SA
139,CEAB3.SA
140,LLIS3F.SA
141,LLIS3.SA
142,CGRA3F.SA
143,CGRA4F.SA
144,CGRA4.SA
145,CGRA3.SA
146,ESTR4F.SA
147,ESTR3F.SA
148,ESTR4.SA
149,ESTR3.SA
150,DIRR3F.SA
151,DIRR3.SA
152,CTNM3F.SA
153,CTNM4F.SA
154,CTNM4.SA
155,CTNM3.SA
156,ANIM3F.SA
157,EVEN3F.SA
158,EVEN3.SA
159,AMAR3F.SA
160,AMAR3.SA
161,MOVI3F.SA
162,MOVI3.SA
163,JHSF3F.SA
164,JHSF3.SA
165,HBOR3F.SA
166,HBOR3.SA
167,PDGR3F.SA
168,PDGR3.SA
169,ARZZ3F.SA
170,EZTC3F.SA
171,EZTC3.SA
172,ALPA3F.SA
173,ALPA4F.SA
174,RENT3F.SA
175,RENT3.SA
176,MRVE3F.SA
177,MRVE3.SA
178,MGLU3F.SA
179,MGLU3.SA
180,LREN3F.SA
181,LREN3.SA
182,COGN3F.SA
183,COGN3.SA
184,WHRL4.SA
185,WHRL3.SA
186,TCSA3.SA
187,SBUB34.SA
188,SMLS3.SA
189,SEER3.SA
190,SLED4.SA
191,HOOT4.SA
192,GFSA3.SA
193,GFSA3F.SA
194,YDUQ3.SA
195,CYRE3.SA
196,CVCB3.SA
197,SBFG3F.SA
198,SBFG3.SA
199,CAMB3F.SA
200,PRVA3.SA
201,WALM34F.SA
202,WALM34.SA
203,SBUB34F.SA
204,PGCO34F.SA
205,PEPB34F.SA
206,PEPB34.SA
207,COLG34F.SA
208,COLG34.SA
209,COCA34F.SA
210,COCA34.SA
211,AVON34F.SA
212,AVON34.SA
213,SMTO3F.SA
214,SMTO3.SA
215,MDIA3F.SA
216,MDIA3.SA
217,CAML3F.SA
218,CAML3.SA
219,AGRO3F.SA
220,AGRO3.SA
221,BEEF3F.SA
222,BEEF3.SA
223,BEEF11.SA
224,VIVA3.SA
225,CRFB3F.SA
226,CRFB3.SA
227,PCAR3F.SA
228,PCAR4F.SA
229,PCAR4.SA
230,PCAR3.SA
231,NTCO3F.SA
232,NTCO3.SA
233,MRFG3F.SA
234,MRFG3.SA
235,JBSS3F.SA
236,JBSS3.SA
237,PGCO34.SA
238,BRFS3.SA
239,INBR31.SA
240,BIDI3.SA
241,BIDI11.SA
242,BIDI4.SA
243,STOC31.SA
244,NUBR33.SA
245,IGTI11.SA
246,IGTI3.SA
247,XPBR31.SA
248,TRAD3.SA
249,BSLI4F.SA
250,BSLI3F.SA
251,BSLI4.SA
252,BSLI3.SA
253,BTTL3F.SA
254,BTTL3.SA
255,BPAR3F.SA
256,BPAR3.SA
257,WFCO34F.SA
258,WFCO34.SA
259,VISA34F.SA
260,VISA34.SA
261,MSBR34F.SA
262,MSBR34.SA
263,MSCD34F.SA
264,MSCD34.SA
265,JPMC34F.SA
266,JPMC34.SA
267,HONB34F.SA
268,HONB34.SA
269,GEOO34F.SA
270,GEOO34.SA
271,GSGI34F.SA
272,GSGI34.SA
273,CTGP34F.SA
274,CTGP34.SA
275,BOAC34F.SA
276,BOAC34.SA
277,MMMC34F.SA
278,MMMC34.SA
279,SCAR3F.SA
280,SCAR3.SA
281,LPSB3F.SA
282,LPSB3.SA
283,BMGB11.SA
284,BMGB4.SA
285,IGBR3F.SA
286,IGBR3.SA
287,GSHP3F.SA
288,GSHP3.SA
