Date,Close,Date
2021-11-16 00:00:00-03:00,,2021-11-16 00:00:00-03:00
2021-11-17 00:00:00-03:00,,2021-11-17 00:00:00-03:00
2021-11-18 00:00:00-03:00,,2021-11-18 00:00:00-03:00
2021-11-19 00:00:00-03:00,,2021-11-19 00:00:00-03:00
2021-11-22 00:00:00-03:00,,2021-11-22 00:00:00-03:00
2021-11-23 00:00:00-03:00,,2021-11-23 00:00:00-03:00
2021-11-24 00:00:00-03:00,,2021-11-24 00:00:00-03:00
2021-11-25 00:00:00-03:00,,2021-11-25 00:00:00-03:00
2021-11-26 00:00:00-03:00,,2021-11-26 00:00:00-03:00
2021-11-29 00:00:00-03:00,,2021-11-29 00:00:00-03:00
2021-11-30 00:00:00-03:00,,2021-11-30 00:00:00-03:00
2021-12-01 00:00:00-03:00,,2021-12-01 00:00:00-03:00
2021-12-02 00:00:00-03:00,,2021-12-02 00:00:00-03:00
2021-12-03 00:00:00-03:00,49.70692132558231,2021-12-03 00:00:00-03:00
2021-12-06 00:00:00-03:00,59.28473137744894,2021-12-06 00:00:00-03:00
2021-12-07 00:00:00-03:00,58.164647134151444,2021-12-07 00:00:00-03:00
2021-12-08 00:00:00-03:00,59.477127279218834,2021-12-08 00:00:00-03:00
2021-12-09 00:00:00-03:00,56.9461850886905,2021-12-09 00:00:00-03:00
2021-12-10 00:00:00-03:00,64.22249657593703,2021-12-10 00:00:00-03:00
2021-12-13 00:00:00-03:00,64.8786641842727,2021-12-13 00:00:00-03:00
2021-12-14 00:00:00-03:00,58.42696441927455,2021-12-14 00:00:00-03:00
2021-12-15 00:00:00-03:00,57.633578061129775,2021-12-15 00:00:00-03:00
2021-12-16 00:00:00-03:00,70.29411591460577,2021-12-16 00:00:00-03:00
2021-12-17 00:00:00-03:00,54.41008303630692,2021-12-17 00:00:00-03:00
2021-12-20 00:00:00-03:00,47.001225418957176,2021-12-20 00:00:00-03:00
2021-12-21 00:00:00-03:00,44.9465012512298,2021-12-21 00:00:00-03:00
2021-12-22 00:00:00-03:00,33.466669718424484,2021-12-22 00:00:00-03:00
2021-12-23 00:00:00-03:00,26.344825481546334,2021-12-23 00:00:00-03:00
