Date,Close,Date
2021-11-16 00:00:00-03:00,,2021-11-16 00:00:00-03:00
2021-11-17 00:00:00-03:00,,2021-11-17 00:00:00-03:00
2021-11-18 00:00:00-03:00,,2021-11-18 00:00:00-03:00
2021-11-19 00:00:00-03:00,,2021-11-19 00:00:00-03:00
2021-11-22 00:00:00-03:00,,2021-11-22 00:00:00-03:00
2021-11-23 00:00:00-03:00,,2021-11-23 00:00:00-03:00
2021-11-24 00:00:00-03:00,,2021-11-24 00:00:00-03:00
2021-11-25 00:00:00-03:00,,2021-11-25 00:00:00-03:00
2021-11-26 00:00:00-03:00,,2021-11-26 00:00:00-03:00
2021-11-29 00:00:00-03:00,,2021-11-29 00:00:00-03:00
2021-11-30 00:00:00-03:00,,2021-11-30 00:00:00-03:00
2021-12-01 00:00:00-03:00,,2021-12-01 00:00:00-03:00
2021-12-02 00:00:00-03:00,,2021-12-02 00:00:00-03:00
2021-12-03 00:00:00-03:00,18.762201287081627,2021-12-03 00:00:00-03:00
2021-12-06 00:00:00-03:00,34.77643469155832,2021-12-06 00:00:00-03:00
2021-12-07 00:00:00-03:00,37.00905212824991,2021-12-07 00:00:00-03:00
2021-12-08 00:00:00-03:00,39.95679971877248,2021-12-08 00:00:00-03:00
2021-12-09 00:00:00-03:00,32.84313777051303,2021-12-09 00:00:00-03:00
2021-12-10 00:00:00-03:00,40.23224049055329,2021-12-10 00:00:00-03:00
2021-12-13 00:00:00-03:00,37.16088162564304,2021-12-13 00:00:00-03:00
2021-12-14 00:00:00-03:00,33.099943216633825,2021-12-14 00:00:00-03:00
2021-12-15 00:00:00-03:00,38.89535267975758,2021-12-15 00:00:00-03:00
2021-12-16 00:00:00-03:00,52.14205207232741,2021-12-16 00:00:00-03:00
2021-12-17 00:00:00-03:00,49.61424020636037,2021-12-17 00:00:00-03:00
2021-12-20 00:00:00-03:00,52.413794422984616,2021-12-20 00:00:00-03:00
2021-12-21 00:00:00-03:00,58.831800877675484,2021-12-21 00:00:00-03:00
2021-12-22 00:00:00-03:00,61.742984084768544,2021-12-22 00:00:00-03:00
2021-12-23 00:00:00-03:00,60.993975622419676,2021-12-23 00:00:00-03:00
